CV	Model Size	Locus 1	Chrom	Pos	Locus 2	Chrom	Pos	Training Balanced Acc	Testing Balanced Acc	Prediction Error	Num Rules	Training True Pos	Training False Pos	Training True Neg	Training False Neg	Testing True Pos	Testing False Pos	Testing True Neg	Testing False Neg
4	1	7	1	7				51.0938	48.75	51.25	3	273	266	54	47	66	68	12	14	
4	1	1	1	1				50.9375	47.5	52.5	3	53	47	273	267	16	20	60	64	
4	1	9	1	9				50.7812	53.125	46.875	3	215	210	110	105	53	48	32	27	
4	2	10	1	10	3	1	3	57.9687	59.375	40.625	9	195	144	176	125	50	35	45	30	
4	2	10	1	10	5	1	5	57.8125	53.125	46.875	9	194	144	176	126	47	42	38	33	
4	2	12	1	12	7	1	7	56.5625	53.75	46.25	9	157	115	205	163	29	23	57	51	
4	2	12	1	12	10	1	10	56.4062	51.25	48.75	9	194	153	167	126	42	40	40	38	
4	2	12	1	12	2	1	2	56.4062	53.75	46.25	9	191	150	170	129	41	35	45	39	
4	2	7	1	7	5	1	5	56.25	45.625	54.375	9	128	88	232	192	25	32	48	55	
4	2	12	1	12	8	1	8	56.0938	53.75	46.25	9	174	135	185	146	37	31	49	43	
4	2	12	1	12	6	1	6	56.0938	50.625	49.375	9	225	186	134	95	46	45	35	34	
4	2	10	1	10	8	1	8	56.0938	45.625	54.375	9	217	178	142	103	49	56	24	31	
4	2	12	1	12	5	1	5	55.9375	51.875	48.125	9	166	128	192	154	33	30	50	47	
5	1	5	1	5				54.5313	50.625	49.375	3	185	156	164	135	43	42	38	37	
5	1	12	1	12				54.0625	55	45	3	177	151	169	143	52	44	36	28	
5	1	11	1	11				53.75	52.5	47.5	3	176	152	168	144	42	38	42	38	
5	1	6	1	6				53.5938	53.125	46.875	3	184	161	159	136	42	37	43	38	
5	1	10	1	10				52.8125	53.75	46.25	3	174	156	164	146	47	41	39	33	
5	1	7	1	7				52.6562	46.25	53.75	3	119	102	218	201	23	29	51	57	
5	1	9	1	9				52.3438	46.25	53.75	3	162	147	173	158	33	39	41	47	
5	1	4	1	4				52.0312	41.875	58.125	3	181	168	152	139	38	51	29	42	
5	1	3	1	3				51.5625	48.75	51.25	3	111	101	219	209	28	30	50	52	
5	1	2	1	2				51.5625	45.625	54.375	3	171	161	159	149	39	46	34	41	
5	2	10	1	10	3	1	3	57.9687	59.375	40.625	9	194	143	177	126	51	36	44	29	
5	2	11	1	11	9	1	9	57.1875	49.375	50.625	9	225	179	141	95	45	46	34	35	
5	2	10	1	10	5	1	5	56.875	54.375	45.625	9	209	165	155	111	51	44	36	29	
5	2	5	1	5	2	1	2	56.25	51.875	48.125	9	254	214	106	66	60	57	23	20	
5	2	11	1	11	7	1	7	56.0938	52.5	47.5	9	141	102	218	179	32	28	52	48	
5	2	9	1	9	5	1	5	55.9375	48.125	51.875	9	241	203	117	79	58	61	19	22	
5	2	7	1	7	1	1	1	55.9375	46.875	53.125	9	220	182	138	100	47	52	28	33	
5	2	6	1	6	5	1	5	55.9375	49.375	50.625	9	194	156	164	126	39	40	40	41	
5	2	2	1	2	1	1	1	55.9375	50	50	9	185	147	173	135	42	42	38	38	
5	2	12	1	12	2	1	2	55.7812	56.25	43.75	9	186	149	171	134	46	36	44	34	
